"Reference","Qty","Value","DNP","Exclude from Board","Footprint"
"C11 ,C12","2","20pF","","","0603"
"C52 ,C116","2","100pF","","","0805"
"C4 ,C5 ,C81 ,C82","4","1.5nF","","","0805"
"C1 ,C3 ,C26 ,C28 ,C43 ,C49 ,C54 ,C56 ,C58 ,C60 ,C62 ,C64 ,C66 ,C68 ,C70 ,C73 ,C149 ,C150 ,C153 ,C155 ,C157 ,C159","22","100nF","","","0805"
"C2 ,C13 ,C14 ,C15 ,C16 ,C17 ,C18 ,C19 ,C20 ,C21 ,C22 ,C23 ,C24 ,C25 ,C27 ,C30 ,C31 ,C35 ,C36 ,C37 ,C38 ,C39 ,C40 ,C41 ,C42 ,C47 ,C51 ,C111 ,C113 ,C130 ,C131 ,C132 ,C133 ,C134 ,C135 ,C138 ,C148","37","100nF","","","0603"
"C6 ,C7 ,C101 ,C102 ,C103 ,C104 ,C105 ,C106","8","2.2uF","","","0603"
"L1 ,L2","2","100uH","","","IND_HQR"
"R94","1","1","","","0805R"
"R95 ,R96 ,R198 ,R199 ,R200","5","1","","","0805"
"R40 ,R41 ,R42 ,R43 ,R44","5","33","","","0603"
"R32 ,R33 ,R34 ,R46","4","100","","","0603"
"R7 ,R75 ,R77 ,R79 ,R81 ,R83 ,R86 ,R88 ,R90 ,R92","10","200","","","0805"
"R15 ,R170 ,R178 ,R186","4","270","","","0805"
"R296 ,R301","2","330","","","1206"
"R45","1","3.3k","","","0603"
"R4 ,R138","2","5.1k","","","0805"
"R6 ,R139","2","10k","","","0805"
"R39 ,R99 ,R106 ,R113 ,R120 ,R127 ,R134 ,R142 ,R149 ,R156 ,R228 ,R259 ,R262 ,R269 ,R276 ,R283 ,R290 ,R302 ,R309 ,R316 ,R323 ,R330","22","47k","","","0603"
"R30 ,R47 ,R100 ,R107 ,R114 ,R121 ,R128 ,R135 ,R143 ,R150 ,R157 ,R229 ,R260 ,R263 ,R270 ,R277 ,R284 ,R291 ,R303 ,R310 ,R317 ,R324 ,R331","23","100k","","","0603"
"R207 ,R208","2","100k","","","0805"
"R9 ,R10 ,R164 ,R165 ,R172 ,R173 ,R180 ,R181","8","120k","","","0603"
"R27 ,R159 ,R160 ,R161 ,R162 ,R163 ,R209 ,R210 ,R211 ,R215 ,R216 ,R220 ,R234 ,R235 ,R333 ,R334 ,R335 ,R336 ,R337 ,R338 ,R339 ,R340 ,R341","23","1M","","","0603"
"R212","1","0 ; 1%","","","0603"
"R201","1","1.2k  ; 1%","","","0603"
"C29 ,C50 ,C147","3","100uF ; 25V","","","CAP2.6"
"R1 ,R3 ,R31 ,R35 ,R37 ,R62 ,R64 ,R74 ,R85 ,R102 ,R104 ,R109 ,R111 ,R116 ,R118 ,R123 ,R125 ,R130 ,R132 ,R137 ,R140 ,R145 ,R147 ,R152 ,R154 ,R213 ,R217 ,R219 ,R226 ,R257 ,R265 ,R267 ,R272 ,R274 ,R279 ,R281 ,R286 ,R288 ,R294 ,R297 ,R305 ,R307 ,R312 ,R314 ,R319 ,R321 ,R326 ,R328","48","10k ; 1%","","","0603"
"R11 ,R13 ,R166 ,R168 ,R174 ,R176 ,R182 ,R184","8","110k ; 1%","","","0603"
"R98","1","11k ; 1%","","","0603"
"R300","1","15k ; 1%","","","0603"
"R2 ,R36 ,R65 ,R103 ,R110 ,R117 ,R124 ,R131 ,R146 ,R153 ,R214 ,R225 ,R256 ,R266 ,R273 ,R280 ,R287 ,R295 ,R306 ,R313 ,R320 ,R327","22","160 ; 1%","","","0805"
"R97 ,R221 ,R230","3","1k ; 1%","","","0603"
"J9","1","2.0mm 7X2 SMT Pin Header","","","2.0MMX7X2_SMT"
"R12 ,R14 ,R167 ,R169 ,R175 ,R177 ,R183 ,R185","8","226k ; 1%","","","0603"
"R202","1","3.6k ; 1%","","","0603"
"R16 ,R171 ,R179 ,R187","4","330 ; 1%","","","0805"
"C32","1","330uF ; 50V","","","CAP5.0"
"C8","1","330uF ; 50V ; DNI","DNP","","CAP5.0"
"R5 ,R38 ,R63 ,R101 ,R105 ,R108 ,R112 ,R115 ,R119 ,R122 ,R126 ,R129 ,R133 ,R136 ,R141 ,R144 ,R148 ,R151 ,R155 ,R158 ,R218 ,R227 ,R258 ,R261 ,R264 ,R268 ,R271 ,R275 ,R278 ,R282 ,R285 ,R289 ,R292 ,R293 ,R298 ,R304 ,R308 ,R311 ,R315 ,R318 ,R322 ,R325 ,R329 ,R332","44","4.7k ; 1%","","","0603"
"R299","1","4.9k ; 1%","","","0603"
"R8 ,R76 ,R78 ,R80 ,R82 ,R84 ,R87 ,R89 ,R91 ,R93","10","470KD07","","","RV-SL"
"C112","1","470uF ; 10V","","","CAP2.5"
"U2 ,U18","2","74HC245","","","SSOP20-2"
"U1 ,U23","2","74HC1G14W","","","SOT353-5"
"Q9 ,Q12 ,Q15 ,Q19 ,Q22 ,Q25 ,Q28 ,Q31 ,Q34 ,Q37 ,Q40 ,Q43 ,Q46 ,Q49 ,Q52 ,Q55 ,Q58 ,Q61 ,Q64 ,Q67 ,Q70 ,Q73","22","AO3400A","","","SOT23"
"Q10 ,Q13 ,Q16 ,Q17 ,Q20 ,Q23 ,Q26 ,Q29 ,Q32 ,Q35 ,Q38 ,Q41 ,Q44 ,Q47 ,Q50 ,Q53 ,Q56 ,Q59 ,Q62 ,Q65 ,Q68 ,Q71","22","AO3401A","","","SOT23"
"D1 ,D2 ,D7 ,D12 ,D16 ,D21 ,D22 ,D23 ,D24 ,D25 ,D26 ,D27 ,D28 ,D29 ,D30 ,D31 ,D46 ,D49 ,D50 ,D63 ,D64 ,D65 ,D66 ,D67","24","BAV99","","","SOT23"
"F3","1","BLX-A fuse holder","","","FUS-BOX"
"U3 ,U13 ,U14 ,U15 ,U16 ,U17 ,U19 ,U20 ,U21 ,U22","10","BT136-600","","","SL-TO-220A-A"
"Q1 ,Q3 ,Q4 ,Q5 ,Q8 ,Q11 ,Q14 ,Q18 ,Q21 ,Q24 ,Q27 ,Q30 ,Q33 ,Q36 ,Q39 ,Q42 ,Q45 ,Q48 ,Q51 ,Q54 ,Q57 ,Q60 ,Q63 ,Q66 ,Q69 ,Q72","26","C1815","","","SOT23"
"J41 ,J45","2","Conn_01x04_Socket","","","CON-SIP-4P-100"
"J23","1","Conn_01x05_White_Socket(2.54-5P)","","","CON-SIP-5P-100"
"U29 ,U33","2","HTC MC34063AD","","","SO8NB"
"U7 ,U34 ,U38 ,U42 ,U46 ,U50","6","LM2902","","","SO14NB"
"U4 ,U24 ,U25 ,U26","4","LM2904","","","SO8NB"
"D48","1","LED GREEN ; DNI","DNP","","DIO-0805"
"D51","1","LED RED ; DNI","DNP","","DIO-0805"
"U8","1","LM1117-3.3V","","","SOT223"
"J4","1","Pin Header 2P SIP-2P-100","","","SIP-2P-100"
"J6","1","Pin Header SIP-4X2-100","","","SIP-4X2-100"
"J1 ,J8 ,J11 ,J13 ,J14 ,J15","6","Slide Switch SS-HZ-12D07","","","SS-HZ-12D07"
"D6 ,D8 ,D43","3","SMBJ5.0CA","","","SMB-1"
"D3 ,D4 ,D37 ,D38 ,D39","5","SMBJ24CA","","","SMB-1"
"D42","1","SMBJ36CA","","","SMB-1"
"D41","1","SMD 1N4007","","","DO-214AA"
"LB2 ,LB3 ,LB5 ,LB6 ,LB9 ,LB10 ,LB11 ,LB12 ,LB13 ,LB14 ,LB15 ,LB16 ,LB17 ,LB18 ,LB19 ,LB20 ,LB21 ,LB22 ,LB23 ,LB24 ,LB25 ,LB26","22","SMD Ferrite Bead 0603-120R±25%","","","0603"
"LB4","1","SMT Bead 0603-120R±25%","","","0603"
"LB7","1","SMT Bead ACMS321611A-121","","","1206"
"D20 ,D44","2","SS26 DO-214AA","","","DO-214AA"
"U6","1","STM32F103ZET6","","","LQFP144-0.5"
"J7 ,J33","2","Terminal Block KF235-5.0-3P","","","KF235-5.0-3P"
"J37 ,J38","2","Terminal Block KF235-5.0-5P","","","KF235-5.0-5P"
"J5 ,J10 ,J12 ,J31 ,J48 ,J51","6","Terminal Block KF235-5.0-6P","","","KF235-5.0-6P"
"U9 ,U28 ,U35","3","TI SN74LV4051ADR","","","SO16NB"
"D77","1","TI TL431BIDR","","","SO8NB"
"Y1","1","XTAL HC49 SMT","","","XTAL_HC49SMT"
